# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

p 2 0 877 43 15735 1053
p 2 0 846 74 15780 1039
p 2 0 863 57 15268 1033
p 2 0 861 59 15839 1038
p 2 0 853 67 15783 1043
p 2 0 876 44 15641 1052
p 2 0 863 57 15796 1046
p 2 0 829 91 15719 1020
p 2 0 866 54 15909 1039
p 2 0 846 74 15586 1033
p 2 0 857 63 15691 1037
p 2 0 855 65 15469 1041
p 2 0 851 69 15808 1033
p 2 0 877 43 15439 1039
p 2 0 862 58 15557 1037
p 2 0 871 49 15557 1041
p 2 0 881 39 15633 1055
i 2 920 0 0 36866 3680
p 2 0 892 28 9804 1026
p 2 0 901 19 12123 1039
p 2 0 882 38 15863 1072
p 2 0 895 25 11728 1020
p 2 0 869 51 12094 987
p 2 0 884 36 16315 1092
p 2 0 886 34 11608 1007
p 2 0 881 39 12810 1012
p 2 0 884 36 17867 1153
p 2 0 896 24 11863 1012
p 2 0 871 49 12482 1008
p 2 0 884 36 18231 1142
p 2 0 892 28 12140 1027
p 2 0 884 36 12890 1013
p 2 0 870 50 16855 1100
p 2 0 895 25 12021 1017
p 2 0 887 33 12933 1018
p 2 0 883 37 15954 1096
p 2 0 892 28 12039 1008
p 2 0 891 29 12832 1019
p 2 0 888 32 15923 1068
p 2 0 892 28 12497 1013
p 2 0 886 34 13236 1032
p 2 0 896 24 12881 1002
p 2 0 879 41 13066 1011
p 2 0 891 29 13277 1020
p 2 0 890 30 13063 1017
p 2 0 898 22 12523 1013
p 2 0 880 40 13480 1005
p 2 0 876 44 15495 1053
p 2 0 895 25 12776 1014
p 2 0 897 23 13320 1032
p 2 0 868 52 14792 1033
p 2 0 900 20 12712 1020
p 2 0 892 28 12987 1004
p 2 0 886 34 14816 1036
p 2 0 895 25 12878 1008
p 2 0 884 36 13075 1007
p 2 0 891 29 14777 1041
p 2 0 894 26 12453 1008
p 2 0 894 26 13218 1019
p 2 0 899 21 14500 1041
p 2 0 889 31 12086 1003
p 2 0 875 45 13227 1000
p 2 0 889 31 14537 1026
p 2 0 897 23 12419 1010
p 2 0 892 28 12806 1012
p 2 0 888 32 13085 1031
p 2 0 884 36 12589 1034
p 2 0 895 25 13250 1020
p 2 0 891 29 12191 1004
